Channel,Recommendations
Emily Tube,"['Toys and Colors', 'Ya - Alisa', '✿ Kids Diana Show', ""Ryan's World"", '★ Kids Roma Show']"
PlayStation,"['IGNentertainment', 'theRadBrad', 'H2ODelirious', 'typicalgamer', 'penguinz0']"
TygaTygaTV,"['DrakeOfficial', 'postmalone', 'DJ Khaled', 'ChrisBrownTV', 'Lil Pump']"
RomanAtwoodVlogs,"['JakePaulProductions', 'VitalyzdTv', 'oRugrat', 'Patty Mayo', 'aynakoitsroi']"
PewDiePie,"['penguinz0', 'markiplierGAME', 'MatthewPatrick13', 'Ryan Trahan', 'TheDiamondMinecart']"
WorldStarHipHopTV,"['YoungBoy Never Broke Again', 'DrakeOfficial', 'TygaTygaTV', 'GooodLifeFilms', 'DJ Khaled']"
Crafty Panda,"['Troom Troom', '5-Minute Crafts LIKE', '123 GO!', '5-Minute Recipes', '5-Minute Crafts Recycle']"
DJ Khaled,"['DrakeOfficial', 'TygaTygaTV', 'Cardi B', 'ChrisBrownTV', 'WorldStarHipHopTV']"
Doctor Mike,"['watchcut', 'BuzzFeedVideo', 'SSSniperWolf', 'Daily Dose Of Internet', 'Ryan Trahan']"
xoxxxoooxo,"['postmalone', 'SAM SMITH', 'taylorgangent', 'Camila Cabello', 'Halsey']"
SaraBeautyCorner,"['5-Minute Crafts FAMILY', '5-Minute Crafts', 'Troom Troom', '5-Minute Crafts DIY', '5-Minute Crafts PLAY']"
TheFineBros,"['TheLateLateShow', 'FirstWeFeast', 'BuzzFeedVideo', 'PewDiePie', 'rhettandlink2']"
bbcnews,"['The Daily Show with Trevor Noah', 'Vox', 'ABCNews', 'CNN', 'cbstvdinsideedition']"
VitalyzdTv,"['RomanAtwoodVlogs', 'JakePaulProductions', 'oRugrat', 'Patty Mayo', 'KSIOlajidebtHD']"
TheSyndicateProject,"['VanossGaming', 'H2ODelirious', 'LazarBeam', 'TTfue', 'typicalgamer']"
Technology Gyan,"['Mrwhosetheboss', 'marquesbrownlee', 'Unbox Therapy', 'LinusTechTips', 'Apple']"
1032010814,"['The Q', 'CrazyRussianHacker', 'whoisjimmy', '5-Minute Crafts', 'colinfurze']"
5-Minute Crafts,"['5-Minute Crafts FAMILY', '5-Minute Crafts PLAY', '5-Minute Recipes', '5-Minute Crafts Recycle', 'Blossom']"
Blossom,"['5-Minute Crafts', '5-Minute Crafts FAMILY', '5-Minute Crafts PLAY', '5-Minute Crafts DIY', '5-Minute Recipes']"
5-Minute Crafts DIY,"['5-Minute Crafts FAMILY', '5-Minute Crafts', '5-Minute Crafts PLAY', 'Blossom', '5-Minute Recipes']"
VEVO,"['Camila Cabello', 'THECHAINSMOKERS', 'cleanbandit', 'qzMendShawqz', 'siavideos']"
RiotGamesInc,"['ImagineDragons', 'NoCopyrightSounds', 'MrSuicideSheep', 'AllTrapNation', 'MatthewPatrick13']"
typicalgamer,"['LazarBeam', 'NinjasHyper', 'TTfue', 'epicfortnite', 'H2ODelirious']"
movieclips,"['movieclipsTRAILERS', 'WarnerBrosPictures', 'NewOnNetflix', 'HISHEdotcom', 'WatchMojo']"
FilmTheorists,"['MatthewPatrick13', 'markiplierGAME', 'HISHEdotcom', 'dangmattsmith', 'PewDiePie']"
MrBeast Shorts,"['Beast Reacts', 'Mythpat', 'onemeeeliondollars', 'Free Fire India Official', 'PrestonPlayz']"
Free Fire India Official,"['MrBeast Shorts', 'Mythpat', 'Beast Reacts', 'Slogomanify', 'epicfortnite']"
MY FAMILY,"['Busy Fun Ltd', 'Maha Fun Tv', 'Alan Chikin Chow', 'Avocado Couple I Crazy Comics', '123 GO!']"
LooLooKids,"['Kids TV - Nursery Rhymes And Baby Songs', 'Little Angel: Nursery Rhymes & Kids Songs', 'LittleBabyBum', 'SmartBooksMedia', 'Bounce Patrol - Kids Songs']"
rhettandlink2,"['React', 'MegatoadStonie', 'BuzzFeedVideo', 'smosh', 'FirstWeFeast']"
Quantum Tech HD,"['The Q', '1032010814', 'Survival Builder', '5-Minute Crafts', 'CrazyRussianHacker']"
BRIGHT SIDE,"['TEDEducation', 'AsapSCIENCE', 'BE AMAZED', 'Kurzgesagt', 'barcroftmedia']"
Bounce Patrol - Kids Songs,"['SmartBooksMedia', 'Kids TV - Nursery Rhymes And Baby Songs', 'Little Angel: Nursery Rhymes & Kids Songs', 'LittleBabyBum', 'videogyan']"
5-Minute Crafts PLAY,"['5-Minute Crafts FAMILY', '5-Minute Crafts', '5-Minute Crafts Recycle', 'Blossom', '5-Minute Recipes']"
MartinGarrix,"['SpinninRec', 'THECHAINSMOKERS', 'cleanbandit', 'TomorrowlandChannel', 'DjWalkzz']"
Nickelodeon,"['DisneyChannelUK', 'Ninja Kidz TV', 'DisneyMusicVEVO', 'MattyBRaps', 'disneyjunior']"
Blippi - Educational Videos for Kids,"['TheElenaYa', 'Little Angel: Nursery Rhymes & Kids Songs', 'BabyBus - Kids Songs and Cartoons', 'Toys and Colors', '★ Kids Roma Show']"
