Channel,Recommendations
Emily Tube,"['Nat and Essie', 'toypudding', 'Dan Rhodes', 'redbull', 'AtlanticVideos']"
PlayStation,"['IGNentertainment', 'typicalgamer', 'RiotGamesInc', 'theRadBrad', 'epicfortnite']"
TygaTygaTV,"['FueledByRamen', 'majorlazer', 'SpinninRec', 'Geet MP3', 'Marshmello']"
RomanAtwoodVlogs,"['familyfunpack', 'The Royalty Family', 'jordanmatter', 'PrestonPlayz', 'TheEllenShow']"
PewDiePie,"['Infinite', 'Mrwhosetheboss', 'Mythpat', 'LazarBeam', 'corycotton']"
WorldStarHipHopTV,"['RayWilliamJohnson', 'AllTrapNation', 'Kurt Hugo Schneider', 'BuzzFeedVideo', 'Davie504']"
Crafty Panda,"['123 GO!', 'Avocado Couple I Crazy Comics', '5-Minute Crafts LIKE', 'Troom Troom', '5-Minute Crafts DIY']"
DJ Khaled,"['cleanbandit', 'Meghan Trainor', 'FueledByRamen', 'Kurt Hugo Schneider', 'SpinninRec']"
Doctor Mike,"['The Daily Show with Trevor Noah', 'collegehumor', 'Beast Reacts', 'BuzzFeedVideo', 'barcroftmedia']"
xoxxxoooxo,"['FueledByRamen', 'SpinninRec', 'MrSuicideSheep', 'DisneyMusicVEVO', 'OneRepublic']"
SaraBeautyCorner,"['RosannaPansino', 'RayWilliamJohnson', 'BuzzFeedVideo', 'MrBeast Shorts', 'Zhong']"
TheFineBros,"['smosh', 'dangmattsmith', 'jordanmatter', 'markiplierGAME', 'React']"
bbcnews,"['CNN', 'ABCNews', 'TheInfographicsShow', 'Vox', 'cbstvdinsideedition']"
VitalyzdTv,"['BuzzFeedYellow', 'oRugrat', 'MSA previously My Story Animated', 'The Royalty Family', 'RomanAtwoodVlogs']"
TheSyndicateProject,"['typicalgamer', 'CaptainSparklez', 'Slogomanify', 'SSundee', 'UnspeakableGaming']"
Technology Gyan,"['Mrwhosetheboss', 'marquesbrownlee', 'Unbox Therapy', 'ndtv', 'popchartbusters']"
1032010814,"['onemeeeliondollars', 'corycotton', 'Beast Reacts', '123 GO!', 'MatthewPatrick13']"
5-Minute Crafts,"['5-Minute Crafts PLAY', '5-Minute Crafts LIKE', '5-Minute Crafts Recycle', '5-Minute Crafts DIY', '123 GO!']"
Blossom,"['5-Minute Crafts', '5-Minute Crafts PLAY', '123 GO!', '5-Minute Crafts DIY', 'RosannaPansino']"
5-Minute Crafts DIY,"['5-Minute Crafts FAMILY', '5-Minute Crafts LIKE', '5-Minute Crafts PLAY', '5-Minute Crafts Recycle', '5-Minute Crafts']"
VEVO,"['FueledByRamen', 'SpinninRec', 'therealdemilovato', 'MTV', 'majorlazer']"
RiotGamesInc,"['IGNentertainment', 'PlayStation', 'FueledByRamen', 'OfficialClashOfClans', 'typicalgamer']"
typicalgamer,"['TheSyndicateProject', 'NinjasHyper', 'IGNentertainment', 'TTfue', 'epicfortnite']"
movieclips,"['movieclipsTRAILERS', 'FilmTheorists', 'WarnerBrosPictures', 'TheFineBros', 'WatchMojo']"
FilmTheorists,"['MatthewPatrick13', 'movieclipsTRAILERS', 'WarnerBrosPictures', 'TheFineBros', 'markiplierGAME']"
MrBeast Shorts,"['BuzzFeedVideo', 'RosannaPansino', 'Nat and Essie', 'MstrJames', 'Kurt Hugo Schneider']"
Free Fire India Official,"['IGNentertainment', 'FGTeeV', 'typicalgamer', 'Mythpat', 'RiotGamesInc']"
MY FAMILY,"['Busy Fun Ltd', 'Maha Fun Tv', 'JustForLaughsTV', 'collegehumor', 'TommyInnit']"
LooLooKids,"['Johny FamilyShow', 'Bounce Patrol - Kids Songs', 'videogyan', 'Kids TV - Nursery Rhymes And Baby Songs', 'Dave and Ava - Nursery Rhymes and Baby Songs']"
rhettandlink2,"['React', 'FirstWeFeast', 'MegatoadStonie', 'Tasty', 'aynakoitsroi']"
Quantum Tech HD,"['5-Minute Crafts PLAY', '5-Minute Crafts', 'The Q', '5-Minute Crafts LIKE', '123 GO!']"
BRIGHT SIDE,"['onemeeeliondollars', 'markiplierGAME', 'Beast Reacts', '123 GO!', 'NationalGeographic']"
Bounce Patrol - Kids Songs,"['Johny FamilyShow', 'videogyan', 'checkgate', 'Kids TV - Nursery Rhymes And Baby Songs', 'Little Angel: Nursery Rhymes & Kids Songs']"
